,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,New Norfolk,-42.7826,147.0587,298.71,38,100,1.34,AU,1612149969
81,East Stroudsburg,40.9995,-75.1813,265.37,87,100,1.34,US,1612149969
82,Torbay,47.6666,-52.7314,272.59,93,90,9.77,CA,1612149969
83,Jiuquan,39.7432,98.5174,268.72,75,0,1.44,CN,1612149969
84,Azare,11.6765,10.1948,291.47,26,2,3.03,NG,1612149969
85,Belawan,3.7755,98.6832,302.15,79,40,2.06,ID,1612149969
86,Poso,-1.3959,120.7524,303.24,58,91,1.96,ID,1612149969
87,Lompoc,34.6391,-120.4579,286.15,67,1,0.93,US,1612149969
88,Venice,27.0998,-82.4543,292.59,100,75,4.63,US,1612149890
89,Mount Gambier,-37.8333,140.7667,292.15,59,90,8.23,AU,1612149969
90,Ilulissat,69.2167,-51.1,260.15,52,75,3.09,GL,1612149969
91,Avarua,-21.2078,-159.775,300.15,78,75,2.57,CK,1612149969
92,Malanje,-9.5402,16.341,290.99,99,100,2.38,AO,1612149969
93,Dingle,10.9995,122.6711,300.96,74,53,6.16,PH,1612149969
94,Bonfim,3.0833,-59.95,299.23,70,100,4.51,BR,1612149970
95,Ust'-Charyshskaya Pristan',52.3934,83.6635,258.66,94,94,0.9,RU,1612149970
96,Ellsworth,44.5434,-68.4195,265.37,67,1,1.54,US,1612149970
97,Pevek,69.7008,170.3133,242.35,85,16,1.66,RU,1612149970
98,Thompson,55.7435,-97.8558,260.15,85,75,1.03,CA,1612149813
99,Serenje,-13.2325,30.2352,289.84,97,100,1.73,ZM,1612149970
100,Provideniya,64.3833,-173.3,254.37,89,100,11.1,RU,1612149970
101,Nemuro,43.3236,145.575,269.15,58,20,3.6,JP,1612149970
102,Padang,-0.9492,100.3543,302.25,60,91,0.36,ID,1612149970
103,Airai,-8.9266,125.4092,294.08,87,89,2.9,TL,1612149970
104,Prince Rupert,54.3161,-130.3201,279.15,81,90,2.57,CA,1612149970
105,Dikson,73.5069,80.5464,239.79,79,39,4.49,RU,1612149970
106,George Town,5.4112,100.3354,303.15,62,20,4.12,MY,1612149813
107,Lebu,-37.6167,-73.65,286.96,87,13,6.02,CL,1612149970
108,Ahipara,-35.1667,173.1667,294.68,58,3,3.51,NZ,1612149970
109,Alugan,12.2188,125.4808,300.35,82,97,6.27,PH,1612149971
110,Tyul'gan,52.3405,56.166,265.53,97,100,4.74,RU,1612149971
111,Manggar,-2.8833,108.2667,301.95,73,100,4.78,ID,1612149941
112,Kaniama,-7.5667,24.1833,292.36,96,100,1.07,CD,1612149971
113,Havre-St-Pierre,50.2334,-63.5986,260.15,78,1,3.09,CA,1612149875
114,Souillac,-20.5167,57.5167,301.15,74,40,5.14,MU,1612149971
115,Port Augusta,-32.5,137.7667,296.15,56,100,11.32,AU,1612149971
116,Codrington,-38.2667,141.9667,291.97,66,72,6.12,AU,1612149971
117,Traverse City,44.7631,-85.6206,269.15,74,1,6.17,US,1612149971
118,Berlevåg,70.8578,29.0864,268.28,92,90,3.36,NO,1612149971
119,Mobile,30.7835,-88.2,285.37,62,40,7.72,US,1612149971
120,Yumen,40.2833,97.2,269.54,66,0,3.13,CN,1612149971
121,Nishihara,26.1842,127.7558,295.15,56,75,5.14,JP,1612149971
122,Sur,22.5667,59.5289,293.17,59,0,0.7,OM,1612149928
123,Pochutla,15.7432,-96.4661,298.15,82,0,0.45,MX,1612149971
124,Sioux Lookout,50.1001,-91.917,269.15,93,90,2.06,CA,1612149972
125,Tiksi,71.6872,128.8694,240.21,86,100,2.72,RU,1612149972
126,Launceston,-41.45,147.1667,294.82,73,90,3.6,AU,1612149972
127,Qiongshan,20.0058,110.3542,295.15,83,75,4.0,CN,1612149972
128,Vardø,70.3705,31.1107,269.77,94,100,4.03,NO,1612149972
129,Saint-Augustin,51.226,-58.6502,261.88,90,0,5.2,CA,1612149972
130,Departamento de Maldonado,-34.6667,-54.9167,294.26,78,75,5.14,UY,1612149972
131,Byron Bay,-28.65,153.6167,301.15,57,40,5.66,AU,1612149972
132,Saint George,37.1041,-113.5841,283.15,46,1,2.06,US,1612149846
133,Inhambane,-23.865,35.3833,299.2,87,0,3.86,MZ,1612149972
134,Samoded,63.6083,40.5111,262.69,97,100,1.56,RU,1612149972
135,Seoul,37.5683,126.9778,283.15,66,75,4.63,KR,1612149973
136,Hong Kong,22.2855,114.1577,296.48,60,20,2.57,HK,1612149973
137,Lodja,-3.4833,23.4333,293.51,91,100,0.91,CD,1612149973
138,Cayenne,4.9333,-52.3333,300.15,78,75,4.63,GF,1612149973
139,Kahului,20.8947,-156.47,298.15,61,20,7.72,US,1612149680
140,Omboué,-1.5746,9.2618,298.0,86,94,0.94,GA,1612149973
141,Nouadhibou,20.931,-17.0347,291.15,82,0,9.26,MR,1612149973
142,Ust-Tsilma,65.441,52.1498,271.35,98,100,4.74,RU,1612149973
143,Ribas do Rio Pardo,-20.4431,-53.7592,296.36,84,100,1.68,BR,1612149973
144,Nikolskoye,59.7035,30.7861,269.26,86,75,6.0,RU,1612149973
145,Flin Flon,54.7682,-101.865,256.35,94,30,0.91,CA,1612149973
146,Miles City,46.4083,-105.8406,274.15,60,1,2.06,US,1612149973
147,Roald,62.5833,6.1333,273.15,80,90,4.12,NO,1612149973
148,Yurginskoye,56.8189,67.3921,257.95,94,0,2.73,RU,1612149973
149,Belaya Gora,68.5333,146.4167,241.38,86,100,0.57,RU,1612149974
150,Mbandaka,0.0487,18.2603,295.61,88,85,1.88,CD,1612149974
151,Iqaluit,63.7506,-68.5145,258.15,72,90,4.12,CA,1612149974
152,Gabú,12.2833,-14.2167,291.79,76,55,1.15,GW,1612149974
153,Kuusamo,65.9667,29.1833,261.15,85,20,2.57,FI,1612149974
154,Albanel,48.8832,-72.4487,254.15,84,77,0.22,CA,1612149974
155,Lieksa,63.3167,30.0167,262.42,96,100,1.64,FI,1612149974
156,Sittwe,20.15,92.9,293.08,32,0,3.59,MM,1612149974
157,San Patricio,28.017,-97.5169,288.71,44,1,4.12,US,1612149974
158,Northam,51.0333,-4.2167,278.15,94,100,5.83,GB,1612149974
159,Fairbanks,64.8378,-147.7164,252.15,84,90,0.89,US,1612149966
160,Rexburg,43.826,-111.7897,265.93,73,1,3.09,US,1612149974
161,Manduria,40.4018,17.6335,285.15,71,75,5.66,IT,1612149974
162,Sabaudia,41.3003,13.0282,280.93,90,92,1.34,IT,1612149974
163,Hong Gai,20.956,107.0946,295.15,73,75,3.09,VN,1612149975
164,Verkhoyansk,67.5447,133.385,230.89,76,100,0.57,RU,1612149975
165,Xining,36.6167,101.7667,266.34,58,0,1.91,CN,1612149975
166,Upernavik,72.7868,-56.1549,257.28,92,100,3.08,GL,1612149975
167,Hilo,19.7297,-155.09,298.15,61,1,3.6,US,1612149975
168,Kumul,42.8,93.45,272.11,73,0,2.98,CN,1612149975
169,Rosetta,31.4044,30.4164,284.15,93,0,2.06,EG,1612149975
170,Saint-Philippe,-21.3585,55.7679,301.15,61,0,2.57,RE,1612149975
171,Algiers,36.7525,3.042,289.15,72,0,6.17,DZ,1612149817
172,La Cruz,23.9167,-106.9,289.26,93,27,4.1,MX,1612149975
173,Hvide Sande,56.0045,8.1294,271.48,83,100,4.19,DK,1612149976
174,Monrovia,6.3005,-10.7969,298.15,94,20,3.18,LR,1612149976
175,Bondeno,44.8862,11.4108,278.15,100,75,1.03,IT,1612149976
176,Kapaa,22.0752,-159.319,297.15,69,40,4.63,US,1612149812
177,Tecpan,14.7623,-90.9947,290.15,77,20,8.23,GT,1612149976
178,Manga,11.6636,-1.0731,294.0,20,78,3.68,BF,1612149976
179,Kruisfontein,-34.0033,24.7314,289.82,94,90,0.89,ZA,1612149976
180,West Wendover,40.7391,-114.0733,272.15,74,1,1.54,US,1612149976
181,Hirara,24.8,125.2833,297.15,56,20,6.69,JP,1612149976
182,Aykhal,66.0,111.5,232.14,79,100,4.07,RU,1612149977
183,Kitimat,54.0524,-128.6534,270.93,93,74,1.4,CA,1612149977
184,Margate,51.3813,1.3862,278.15,91,100,0.89,GB,1612149977
185,Vostok,46.4856,135.8833,262.81,96,100,0.61,RU,1612149977
186,Portland,45.5234,-122.6762,283.15,87,90,2.57,US,1612149866
187,Bilibino,68.0546,166.4372,251.98,85,100,5.33,RU,1612149977
188,North Bend,43.4065,-124.2243,283.71,96,100,2.24,US,1612149977
189,Naze,28.3667,129.4833,295.15,56,20,7.72,JP,1612149736
190,Ossora,59.2353,163.0719,255.48,91,100,10.64,RU,1612149977
191,Busselton,-33.65,115.3333,302.04,40,0,1.79,AU,1612149977
192,Esperance,-33.8667,121.9,299.15,38,40,5.66,AU,1612149977
193,Mehamn,71.0357,27.8492,269.32,93,100,4.6,NO,1612149977
194,Bosaso,11.2842,49.1816,293.43,75,0,1.94,SO,1612149977
195,Saskylakh,71.9167,114.0833,238.0,83,58,3.35,RU,1612149977
196,Halifax,44.6453,-63.5724,271.15,80,24,2.57,CA,1612149902
197,Haines Junction,60.7522,-137.5108,257.15,66,100,4.12,CA,1612149978
198,Shiyan,32.6475,110.7781,287.04,47,0,1.89,CN,1612149978
199,Lüderitz,-26.6481,15.1594,291.95,77,0,8.08,NA,1612149978
200,Kolāras,25.2333,77.6,288.88,31,0,1.56,IN,1612149978
201,Te Anau,-45.4167,167.7167,295.76,49,11,1.42,NZ,1612149978
202,Lorengau,-2.0226,147.2712,301.82,76,100,4.77,PG,1612149978
203,Butaritari,3.0707,172.7902,300.5,82,45,6.49,KI,1612149978
204,Lagos,6.5833,3.75,301.15,83,20,1.75,NG,1612149728
205,Lenger,42.183,69.8839,281.15,93,90,7.0,KZ,1612149978
206,Tasiilaq,65.6145,-37.6368,263.15,62,90,0.51,GL,1612149853
207,Āsosa,10.0667,34.5333,290.27,39,0,2.63,ET,1612149979
208,Sinnamary,5.3833,-52.95,298.48,81,95,6.3,GF,1612149979
209,Onega,63.9061,38.1404,262.98,97,100,0.68,RU,1612149979
210,Paoua,7.2427,16.4406,294.05,27,0,1.59,CF,1612149979
211,Grindavik,63.8424,-22.4338,271.15,74,0,6.17,IS,1612149979
212,Olbia,40.9214,9.4856,286.15,76,40,7.2,IT,1612149979
213,Talaya,61.3833,152.75,239.0,78,100,6.02,RU,1612149979
214,Fortuna,40.5982,-124.1573,285.93,94,90,9.77,US,1612149979
215,Jalu,29.0331,21.5482,288.28,31,0,5.77,LY,1612149979
216,Umluj,25.0213,37.2685,294.34,34,0,2.31,SA,1612149979
217,Khovd,48.0056,91.6419,258.11,86,7,1.34,MN,1612149979
218,Jiujiang,29.7333,115.9833,281.82,93,100,3.21,CN,1612149979
219,Manokwari,-0.8667,134.0833,300.93,66,94,1.67,ID,1612149979
220,Xam Nua,20.4197,104.0439,292.64,63,96,0.65,LA,1612149979
221,Erzin,36.9559,36.2,282.04,81,65,1.79,TR,1612149980
222,Ust-Maya,60.4167,134.5333,234.93,78,100,2.2,RU,1612149980
223,Gorom-Gorom,14.4439,-0.2361,294.19,20,99,4.27,BF,1612149980
224,Leningradskiy,69.3833,178.4167,244.73,86,100,5.8,RU,1612149980
225,Lagoa,39.05,-27.9833,289.59,87,100,9.2,PT,1612149850
226,Bar Harbor,44.3876,-68.2039,265.93,67,1,1.54,US,1612149980
227,Los Llanos de Aridane,28.6585,-17.9182,290.15,82,0,5.66,ES,1612149980
228,Balakhta,55.38,91.6,247.38,84,39,1.26,RU,1612149980
229,Nosy Varika,-20.5833,48.5333,297.82,87,1,1.89,MG,1612149980
230,Nabire,-3.3667,135.4833,300.99,77,100,1.18,ID,1612149980
231,Henties Bay,-22.116,14.2845,292.59,85,100,2.47,NA,1612149980
232,Birjand,32.8663,59.2211,270.15,50,0,4.12,IR,1612149980
233,Cabo San Lucas,22.8909,-109.9124,292.04,88,20,1.79,MX,1612149871
234,Shitkino,56.3703,98.3543,239.19,82,39,1.14,RU,1612149981
235,Sola,-13.8833,167.55,304.15,70,75,12.15,VU,1612149981
236,Yellowknife,62.456,-114.3525,252.15,77,75,2.06,CA,1612149702
237,Mar del Plata,-38.0023,-57.5575,290.93,72,75,5.14,AR,1612149981
238,Lagos de Moreno,21.35,-101.9167,291.15,29,1,8.23,MX,1612149981
239,Severo-Kuril'sk,50.6789,156.125,267.6,94,99,18.45,RU,1612149812
240,Aketi,2.7388,23.7833,293.42,59,97,0.64,CD,1612149981
241,Clyde River,70.4692,-68.5914,253.15,84,90,10.29,CA,1612149981
242,Cootamundra,-34.65,148.0333,303.71,50,77,1.34,AU,1612149981
243,Saldanha,-33.0117,17.9442,290.69,75,13,10.44,ZA,1612149981
244,Rincon,32.296,-81.2354,289.15,88,90,2.06,US,1612149981
245,Arrifes,37.7667,-25.7,289.82,94,75,9.26,PT,1612149981
246,Sechura,-5.5569,-80.8222,297.53,69,41,6.31,PE,1612149981
247,Ostrovnoy,68.0531,39.5131,261.44,94,84,1.5,RU,1612149981
248,Challapata,-18.9,-66.7667,284.0,53,39,3.31,BO,1612149982
249,Beidao,34.5686,105.8933,274.26,61,0,0.89,CN,1612149982
250,Mandalgovi,45.7625,106.2708,251.59,79,0,6.96,MN,1612149982
251,Ulladulla,-35.35,150.4667,298.15,65,75,5.66,AU,1612149982
252,Boundiali,9.5217,-6.4869,293.71,23,0,2.12,CI,1612149982
253,Waipawa,-41.4122,175.5153,292.59,72,0,5.14,NZ,1612149982
254,Kibala,9.1104,18.3463,294.15,49,0,1.52,TD,1612149982
255,Panama City,8.9936,-79.5197,299.15,83,75,3.6,PA,1612149982
256,Sosnovo-Ozerskoye,52.5249,111.5418,239.49,83,71,4.44,RU,1612149983
257,Pedernales,18.0384,-71.744,297.79,68,80,3.32,DO,1612149983
258,Zhezkazgan,47.8043,67.7144,262.18,92,0,0.62,KZ,1612149983
259,Tuskegee,32.424,-85.6916,287.15,77,75,8.23,US,1612149983
260,Yelizovo,53.1873,158.3805,270.15,43,93,4.0,RU,1612149983
261,Lubango,-14.9172,13.4925,288.29,70,83,0.81,AO,1612149983
262,Pacific Grove,36.6177,-121.9166,285.37,82,1,2.27,US,1612149983
263,‘Āhuimanu,21.4447,-157.8378,300.15,64,40,4.12,US,1612149983
264,Tarauacá,-8.1614,-70.7656,294.21,97,100,0.52,BR,1612149983
265,Angoche,-16.2325,39.9086,299.57,77,100,5.04,MZ,1612149983
266,Port Hardy,50.6996,-127.4199,279.15,100,90,2.06,CA,1612149983
267,Tazovsky,67.4667,78.7,250.11,90,100,5.46,RU,1612149983
268,Bayir,37.2687,28.2167,289.15,63,75,9.26,TR,1612149983
269,Garden City,42.3256,-83.331,271.48,74,90,8.23,US,1612149984
270,Dawei,14.0833,98.2,304.21,40,0,0.16,MM,1612149984
271,Nyíregyháza,47.9554,21.7167,271.15,74,90,4.12,HU,1612149984
272,Carupano,10.6678,-63.2585,297.29,85,23,5.19,VE,1612149984
273,Arrondissement de Cahors,44.4167,1.3333,285.15,87,75,8.75,FR,1612149984
274,Pemba,-12.974,40.5178,298.15,94,75,3.6,MZ,1612149984
275,Kungur,57.4368,56.9593,271.0,94,100,9.14,RU,1612149840
276,Ardakān,32.31,54.0175,279.15,31,0,3.09,IR,1612149984
277,Araouane,18.9048,-3.5265,291.66,22,57,4.19,ML,1612149984
278,Grand Prairie,32.746,-96.9978,283.15,46,1,2.57,US,1612149914
279,Barcelos,41.5388,-8.6151,287.15,94,75,3.6,PT,1612149984
280,Bozova,37.3625,38.5267,276.15,100,75,2.57,TR,1612149984
281,Ha Giang,22.8333,104.9833,291.84,80,87,1.0,VN,1612149984
282,Ponta do Sol,32.6667,-17.1,285.93,58,0,0.89,PT,1612149985
283,Jinchang,38.4953,102.1739,269.93,64,0,0.53,CN,1612149985
284,Mangai,-4.05,19.5333,293.58,91,92,0.63,CD,1612149985
285,Port Lincoln,-34.7333,135.8667,292.15,58,45,7.71,AU,1612149985
286,Brainerd,46.358,-94.2008,270.15,74,90,4.12,US,1612149985
287,Ginda,30.6945,78.4932,282.32,39,0,1.95,IN,1612149985
288,Porto-Novo,6.4965,2.6036,301.15,89,40,1.03,BJ,1612149985
289,Mitsamiouli,-11.3847,43.2844,301.62,66,71,2.53,KM,1612149985
290,Kununurra,-15.7667,128.7333,304.15,74,40,2.57,AU,1612149926
291,Banda Aceh,5.5577,95.3222,301.17,70,41,4.85,ID,1612149985
292,Touros,-5.1989,-35.4608,299.15,83,40,2.06,BR,1612149985
293,Chui,-33.6971,-53.4616,294.06,91,100,5.81,UY,1612149985
294,Petropavlovsk-Kamchatskiy,53.0452,158.6483,270.15,43,92,4.0,RU,1612149941
295,Isoka,-10.1606,32.6335,290.13,98,100,1.9,ZM,1612149985
296,Hambantota,6.1241,81.1185,301.15,83,20,3.6,LK,1612149985
297,Baruun-Urt,46.6806,113.2792,245.38,81,12,3.89,MN,1612149986
298,Solnechnyy,50.7214,136.6319,249.2,84,73,1.66,RU,1612149986
299,Mareeba,-17.0,145.4333,304.82,65,94,1.79,AU,1612149986
300,Brownsville,25.9018,-97.4975,291.15,63,75,2.06,US,1612149934
301,Chernyshevskiy,63.0128,112.4714,236.54,85,94,1.1,RU,1612149986
302,Barinas,8.6226,-70.2075,298.47,67,91,2.34,VE,1612149986
303,Kajaani,64.2273,27.7285,262.15,92,90,2.06,FI,1612149986
304,Hay River,60.8156,-115.7999,253.15,71,100,2.57,CA,1612149986
305,Demba,-5.51,22.2667,293.82,98,99,0.17,CD,1612149986
306,Dayong,25.0209,118.2898,292.15,63,98,1.0,CN,1612149986
307,Camacha,33.0833,-16.3333,289.15,88,20,3.6,PT,1612149986
308,Karratha,-20.7377,116.8463,301.02,67,100,8.52,AU,1612149986
309,Pacifica,37.6138,-122.4869,286.48,71,1,2.48,US,1612149865
310,Rodrigues Alves,-7.738,-72.6509,295.29,98,100,0.88,BR,1612149986
311,Port Hawkesbury,45.6169,-61.3485,271.48,74,90,3.09,CA,1612149987
312,Cherskiy,68.75,161.3,248.82,83,97,3.15,RU,1612149987
313,Naryan-Mar,67.6713,53.087,261.7,95,100,5.73,RU,1612149987
314,Kavieng,-2.5744,150.7967,302.07,79,100,7.1,PG,1612149987
315,Andros Town,24.7,-77.7667,295.15,88,0,3.6,BS,1612149987
316,Sos'va,59.1766,61.8558,264.7,95,99,5.27,RU,1612149987
317,Uyskoye,54.3775,60.0047,261.1,95,66,3.25,RU,1612149987
318,Harrisburg,40.2737,-76.8844,268.15,92,100,3.58,US,1612149711
319,Saint-Louis,16.3333,-15.0,294.15,43,0,1.03,SN,1612149987
320,Belomorsk,64.5232,34.7668,259.02,95,100,1.45,RU,1612149987
321,Poptún,16.3311,-89.4169,291.16,100,8,0.89,GT,1612149987
322,Port Hedland,-20.3167,118.5667,299.15,100,90,10.29,AU,1612149987
323,Maningrida,-12.0667,134.2667,304.84,64,99,4.52,AU,1612149987
324,Malakal,9.5334,31.6605,295.88,22,0,3.32,SS,1612149987
325,São Filipe,14.8961,-24.4956,295.25,74,0,2.43,CV,1612149988
326,Kodinsk,58.6881,99.1844,236.51,80,31,0.79,RU,1612149988
327,Necochea,-38.5473,-58.7368,286.48,85,100,0.45,AR,1612149988
328,Shimoda,34.6667,138.95,283.15,71,20,4.63,JP,1612149988
329,Khanpur,28.6453,70.6567,286.42,34,0,5.01,PK,1612149988
330,Yangi Marg`ilon,40.4272,71.7189,278.15,45,40,2.06,UZ,1612149988
331,Bengkulu,-3.8004,102.2655,302.59,60,92,1.64,ID,1612149988
332,Yokote,39.3,140.5667,275.15,55,0,5.14,JP,1612149988
333,Auki,-8.7676,160.7034,301.05,84,98,7.61,SB,1612149988
334,Boende,-0.2167,20.8667,294.87,89,2,1.06,CD,1612149988
335,Ampanihy,-24.7,44.75,298.05,81,1,1.77,MG,1612149844
336,Lavrentiya,65.5833,-171.0,251.71,85,100,7.96,RU,1612149988
337,Dhidhdhoo,6.8833,73.1,300.88,74,100,4.17,MV,1612149792
338,Tagusao,9.1924,117.8141,301.13,67,88,3.35,PH,1612149989
339,Yerbogachën,61.2767,108.0108,237.47,81,81,2.9,RU,1612149989
340,Tibati,6.4667,12.6333,288.92,33,7,1.02,CM,1612149989
341,Ruteng,-8.6136,120.4721,296.47,80,51,2.39,ID,1612149989
342,Parabel',58.6978,81.4825,246.9,86,80,2.49,RU,1612149989
343,Nhulunbuy,-12.2333,136.7667,305.15,58,75,4.63,AU,1612149989
344,Aripuanã,-9.1667,-60.6333,296.58,93,80,0.64,BR,1612149989
345,Nola,40.922,14.5329,282.04,66,42,0.81,IT,1612149989
346,Peruíbe,-24.32,-46.9983,297.54,87,100,1.85,BR,1612149989
347,Alta Floresta,-9.8756,-56.0861,295.31,93,8,0.5,BR,1612149881
348,Frederico Westphalen,-27.3592,-53.3944,293.71,94,100,0.68,BR,1612149990
349,Leshukonskoye,64.8989,45.7622,265.5,97,100,3.28,RU,1612149990
350,Mirny,62.5353,113.9611,237.33,83,53,1.7,RU,1612149990
351,Balikpapan,-1.2675,116.8289,301.15,83,20,3.09,ID,1612149990
352,Grand Gaube,-20.0064,57.6608,300.37,80,8,4.02,MU,1612149990
353,Ilebo,-4.3167,20.5833,294.41,92,74,0.41,CD,1612149990
354,Taltal,-25.4,-70.4833,292.49,68,0,2.96,CL,1612149990
355,Verāval,20.9,70.3667,294.31,28,0,4.71,IN,1612149990
356,Faya,18.3851,42.4509,284.15,53,0,2.06,SA,1612149990
